w2,w1,count_w1_w2,count_w1,count_w2,pmi,sppmi,k11,k12,k21,k22,row1,row2,col1,col2,LLR_Score
tíle,cill,5,2693,5,4.678327186779323,3.678327186779323,5,2688,0,66260,2693,66260,5,68948,32.43661949578714
molúda,cill,5,2693,5,4.678327186779323,3.678327186779323,5,2688,0,66260,2693,66260,5,68948,32.43661949578714
mobhí,cill,5,2693,5,4.678327186779323,3.678327186779323,5,2688,0,66260,2693,66260,5,68948,32.43661949578714
liaile,cill,5,2693,5,4.678327186779323,3.678327186779323,5,2688,0,66260,2693,66260,5,68948,32.43661949578714
tormóir,cill,5,2693,5,4.678327186779323,3.678327186779323,5,2688,0,66260,2693,66260,5,68948,32.43661949578714
uisean,cill,5,2693,5,4.678327186779323,3.678327186779323,5,2688,0,66260,2693,66260,5,68948,32.43661949578714
reachtais,cill,5,2693,5,4.678327186779323,3.678327186779323,5,2688,0,66260,2693,66260,5,68948,32.43661949578714
osna,cill,5,2693,5,4.678327186779323,3.678327186779323,5,2688,0,66260,2693,66260,5,68948,32.43661949578714
mhíodáin,cill,5,2693,5,4.678327186779323,3.678327186779323,5,2688,0,66260,2693,66260,5,68948,32.43661949578714
fhaoile,cill,5,2693,5,4.678327186779323,3.678327186779323,5,2688,0,66260,2693,66260,5,68948,32.43661949578714
rí,fearann,9,388,109,3.875153535759253,2.875153535759253,9,379,100,68465,388,68565,109,68844,32.42589207632776
chláir,gráinseach,5,72,75,5.996510104230164,4.996510104230164,5,67,70,68811,72,68881,75,68878,32.39700705973187
siosta,tuath,2,22,2,11.613894082643696,10.613894082643696,2,20,0,68931,22,68931,2,68951,32.388086551471545
aosa,tuath,2,22,2,11.613894082643696,10.613894082643696,2,20,0,68931,22,68931,2,68951,32.388086551471545
luigheach,buiríos,2,22,2,11.613894082643696,10.613894082643696,2,20,0,68931,22,68931,2,68951,32.388086551471545
chanánach,tuath,2,22,2,11.613894082643696,10.613894082643696,2,20,0,68931,22,68931,2,68951,32.388086551471545
prochlaise,cluainte,2,22,2,11.613894082643696,10.613894082643696,2,20,0,68931,22,68931,2,68951,32.388086551471545
mhaighréide,teampall,4,305,8,6.820660268830746,5.820660268830746,4,301,4,68644,305,68648,8,68945,32.364053685720776
nua,tagard,4,6,470,6.611846253994838,5.611846253994838,4,2,466,68481,6,68947,470,68483,32.33044569471666
darach,garrán,7,223,87,4.636837227569566,3.6368372275695657,7,216,80,68650,223,68730,87,68866,32.29880852648716
tiobraid,achadh,4,477,6,6.590517744554327,5.590517744554327,4,473,2,68474,477,68476,6,68947,32.21208180482369
bán,féar,3,3,323,7.73793534658707,6.73793534658707,3,0,320,68630,3,68950,323,68630,32.208988332977555
báine,láire,2,2,23,11.54976374522398,10.54976374522398,2,0,21,68930,2,68951,23,68930,32.201872008724635
mheánach,ré,4,75,27,7.089619508621645,6.089619508621645,4,71,23,68855,75,68878,27,68926,32.201835317436405
mór,fiar,7,11,2525,4.119181332174782,3.119181332174782,7,4,2518,66424,11,68942,2525,66428,32.19633920272419
beithe,bealach,5,166,34,5.932751523571093,4.932751523571093,5,161,29,68758,166,68787,34,68919,32.18434505787687
darú,dún,4,667,5,6.369854655209047,5.369854655209047,4,663,1,68285,667,68286,5,68948,32.14622739703561
lúiche,dún,4,667,5,6.369854655209047,5.369854655209047,4,663,1,68285,667,68286,5,68948,32.14622739703561
léire,dún,4,667,5,6.369854655209047,5.369854655209047,4,663,1,68285,667,68286,5,68948,32.14622739703561
feart,dún,4,667,5,6.369854655209047,5.369854655209047,4,663,1,68285,667,68286,5,68948,32.14622739703561
slinn,dún,4,667,5,6.369854655209047,5.369854655209047,4,663,1,68285,667,68286,5,68948,32.14622739703561
iomáin,dún,4,667,5,6.369854655209047,5.369854655209047,4,663,1,68285,667,68286,5,68948,32.14622739703561
gó,áth,4,381,7,6.6923235917300685,5.6923235917300685,4,377,3,68569,381,68572,7,68946,32.101142707364026
fhearta,maigh,5,363,17,5.803965216922267,4.803965216922267,5,358,12,68578,363,68590,17,68936,32.06443815496998
áth,sruthán,6,186,62,5.164933080507244,4.164933080507244,6,180,56,68711,186,68767,62,68891,32.049085519763196
tóite,cnocán,3,332,3,7.698286269934069,6.698286269934069,3,329,0,68621,332,68621,3,68950,32.043332469865916
biolraí,cnocán,3,332,3,7.698286269934069,6.698286269934069,3,329,0,68621,332,68621,3,68950,32.043332469865916
uachtair,néan,3,6,85,8.663934765143292,7.663934765143292,3,3,82,68865,6,68947,85,68868,31.987568615416652
chríost,theampall,2,3,10,12.166435105672477,11.166435105672477,2,1,8,68942,3,68950,10,68943,31.96517341824902
dhún,caisleán,8,480,65,4.144067292644022,3.1440672926440216,8,472,57,68416,480,68473,65,68888,31.90348177646619
urlach,cathair,3,341,3,7.6596977722568225,6.6596977722568225,3,338,0,68612,341,68612,3,68950,31.882127665961978
urláir,srath,4,129,17,6.974635604607402,5.974635604607402,4,125,13,68811,129,68824,17,68936,31.873013095867822
